Page,Component,Ref,English,Spanish,French,Hindi
Fields,,mechanical_engineering,Mechanical Engineering,Ingeniería Mecánica,Génie mécanique,मैकेनिकल इंजीनियरिंग
Fields,,medicine,Medicine,Medicamento,Médecine,दवा
Fields,,physics,Physics,Física,La physique,भौतिक विज्ञान
Fields,,space_science,Space Science,Ciencia espacial,Science de l'espace,अंतरिक्ष विज्ञान
Fields,,fall_2022_science_fair,Fall 2022 Science Fair,Otoño 2022 Feria de ciencias,Foire scientifique automne 2022,पतन 2022 विज्ञान मेला
Fields,,,,,,
Navigation,,home,Home,Hogar,Maison,घर
Navigation,,about,About,Sobre,À propos de,के बारे में
Navigation,,articles,Articles,Artículos,Des articles,सामग्री
Navigation,,projects,Projects,Proyectos,Projets,परियोजनाओं
Navigation,,courses,Courses,Cursos,Cours,पाठ्यक्रम
Navigation,,get_involved,Get Involved,Involucrarse,Être impliqué,उलझना
Navigation,,donate,Donate,Donar,Faire un don,दान देना
Navigation,,sign_out,Sign Out,Desconectar,Se déconnecter,साइन आउट
Navigation,,sign_up,Sign Up,Inscribirse,S'inscrire,साइन अप करें
Navigation,,profile,Profile,Perfil,Profil,प्रोफ़ाइल
Footer,,,,#VALUE!,#VALUE!,#VALUE!
Footer,,organization,ORGANIZATION,ORGANIZACIÓN,ORGANISME,संगठन
Footer,,about,About,Sobre,À propos de,के बारे में
Footer,,get_started,Get Started,Empezar,Commencer,शुरू हो जाओ
Footer,,contact,Contact,Contacto,Contact,संपर्क करना
Footer,,get_involved,Get Involved,Involucrarse,Être impliqué,उलझना
Footer,,feedback,Feedback,Retroalimentación,Retour d'information,प्रतिपुष्टि
Footer,,legal,LEGAL,LEGAL,JURIDIQUE,कानूनी
Footer,,privacy,Privacy,Privacidad,Intimité,गोपनीयता
Footer,,terms,Terms,Términos,Conditions,शर्तें
Footer,,cookies,Cookies,Galletas,Biscuits,कुकीज़
Footer,,language,LANGUAGE,IDIOMA,LANGUE,भाषा: हिन्दी
Footer,,follow_us,FOLLOW US,SÍGANOS,SUIVEZ-NOUS,हमारा अनुसरण करें
Educators,,,,,,
Educators,,courses,Courses,Cursos,Cours,पाठ्यक्रम
Educators,,accessible_courses,"At SciTeens, we like to make 100% online and accessible science courses for high schoolers. Currently, we have ecological, biological, and physics tracks. To get a breakdown of each of our courses, navigate to our Courses page.","En Sciteens, nos gusta hacer cursos de ciencias 100% en línea y accesibles para estudiantes de secundaria. Actualmente, tenemos pistas ecológicas, biológicas y físicas. Para obtener un desglose de cada uno de nuestros cursos, navegue a nuestra página de cursos.","Chez Sciteens, nous aimons faire des cours de sciences à 100% en ligne et accessibles pour les lycéens. Actuellement, nous avons des pistes écologiques, biologiques et physiques. Pour obtenir une ventilation de chacun de nos cours, accédez à notre page de cours.","स्काईनेंस में, हम हाई स्कूलर्स के लिए 100% ऑनलाइन और सुलभ विज्ञान पाठ्यक्रम बनाना पसंद करते हैं। वर्तमान में, हमारे पास पारिस्थितिक, जैविक और भौतिकी ट्रैक हैं। हमारे प्रत्येक पाठ्यक्रम का टूटना पाने के लिए, हमारे पाठ्यक्रम पृष्ठ पर नेविगेट करें।"
Educators,,promote_to_students,"As an educator, you can promote these courses to your students, as they can be completed completely online and for free. The course materials are accessible for the students to work through on their own time, but we run synchronous sessions at various times throughout the year. To sign up for a synchronous course, your students should make a SciTeens account (which will automatically add them to the mailing list) in order to be notified as soon as possible.","Como educador, puede promover estos cursos a sus alumnos, ya que pueden completarse completamente en línea y de forma gratuita. Los materiales del curso son accesibles para que los estudiantes trabajen en su propio tiempo, pero realizamos sesiones síncronas en varios momentos durante todo el año. Para suscribirse a un curso sincrónico, sus estudiantes deben hacer una cuenta de Sciteens (que los agregará automáticamente a la lista de correo) para ser notificados lo antes posible.","En tant qu'éducateur, vous pouvez promouvoir ces cours auprès de vos étudiants, car ils peuvent être complétés entièrement en ligne et gratuitement. Les documents de cours sont accessibles pour que les étudiants puissent travailler à leur rythme, mais nous organisons des sessions synchrones à divers moments tout au long de l'année. Pour vous inscrire à un cours synchrone, vos étudiants devraient créer un compte Sciteens (qui les ajoutera automatiquement à la liste de diffusion) afin d'être averti dès que possible.","एक शिक्षक के रूप में, आप अपने छात्रों को इन पाठ्यक्रमों को बढ़ावा दे सकते हैं, क्योंकि वे पूरी तरह से ऑनलाइन और मुफ्त में पूरा हो सकते हैं। पाठ्यक्रम सामग्री छात्रों के लिए अपने समय के माध्यम से काम करने के लिए सुलभ है, लेकिन हम पूरे वर्ष कई बार सिंक्रोनस सत्र चलाते हैं। एक सिंक्रोनस कोर्स के लिए साइन अप करने के लिए, आपके छात्रों को जल्द से जल्द सूचित करने के लिए एक स्काईनस खाता (जो स्वचालित रूप से उन्हें मेलिंग सूची में जोड़ देगा) बनाना चाहिए।"
Educators,,use_colab,"Our courses use the following software: Google Colab and Google Slides. Google Colab is what you and your students will use to load our coding lessons, which are in Jupyter Notebook format. As long as you have a Google account, you’re all set to use the notebooks!","Nuestros cursos utilizan el siguiente software: Google Colab y Google Slides. Google Colab es lo que usted y sus alumnos usarán para cargar nuestras lecciones de codificación, que están en formato de cuaderno Jupyter. ¡Mientras tenga una cuenta de Google, está listo para usar los cuadernos!","Nos cours utilisent le logiciel suivant: Google Colab et Google diaposentes. Google Colab est ce que vous et vos élèves utiliserez pour charger nos leçons de codage, qui sont au format de cahier Jupyter. Tant que vous avez un compte Google, vous êtes prêt à utiliser les ordinateurs portables!","हमारे पाठ्यक्रम निम्नलिखित सॉफ़्टवेयर का उपयोग करते हैं: Google Colab और Google स्लाइड। Google Colab वह है जो आप और आपके छात्र हमारे कोडिंग पाठों को लोड करने के लिए उपयोग करेंगे, जो Jupyter नोटबुक प्रारूप में हैं। जब तक आपके पास Google खाता है, आप नोटबुक का उपयोग करने के लिए तैयार हैं!"
Educators,,contact_us,"If you have any questions or feedback on our courses, we’d love to hear from you! You can email either ","Si tiene alguna pregunta o comentario sobre nuestros cursos, ¡nos encantaría saber de usted! Puedes enviar un correo electrónico tampoco","Si vous avez des questions ou des commentaires sur nos cours, nous serions ravis de vous entendre! Vous pouvez envoyer un e-mail","यदि आपके पास हमारे पाठ्यक्रमों पर कोई प्रश्न या प्रतिक्रिया है, तो हम आपसे सुनना पसंद करेंगे! आप या तो ईमेल कर सकते हैं"
Educators,,or,or,o,ou,या
Educators,,respectively,respectively,respectivamente,respectivement,क्रमश:
Educators,,resources,Resources,Recursos,Ressources,साधन
Educators,,science_resources,"In addition to courses, we provide students with science resources. On our SciTeens YouTube channel, we post interviews, talks, and even science experiments.","Además de los cursos, brindamos a los estudiantes recursos científicos. En nuestro canal de YouTube Sciteens, publicamos entrevistas, conversaciones e incluso experimentos científicos.","En plus des cours, nous fournissons aux étudiants des ressources scientifiques. Sur notre chaîne YouTube Sciteens, nous publions des interviews, des discussions et même des expériences scientifiques.","पाठ्यक्रमों के अलावा, हम छात्रों को विज्ञान संसाधन प्रदान करते हैं। हमारे स्काईटेंस YouTube चैनल पर, हम साक्षात्कार, वार्ता और यहां तक ​​कि विज्ञान प्रयोगों को पोस्ट करते हैं।"
Educators,,popular_video,Our most popular video:,Nuestro video más popular:,Notre vidéo la plus populaire:,हमारा सबसे लोकप्रिय वीडियो:
Educators,,recent_video,Our most recent video:,Nuestro video más reciente:,Notre vidéo la plus récente:,हमारा सबसे हालिया वीडियो:
Educators,,articles_page,"Also, we have a whole page dedicated to science articles. Our articles are a great way for students to explore their STEM interests, as they’re written for and by fellow students. A few of our most recent articles include: Classification of Animals as it Relates to Humans, Are Ghosts Real?, and Your Mini Guide For Antibiotics Usage.","Además, tenemos una página completa dedicada a los artículos de ciencias. Nuestros artículos son una excelente manera para que los estudiantes exploren sus intereses STEM, como están escritos para compañeros y por compañeros. Algunos de nuestros artículos más recientes incluyen: Clasificación de animales en relación con los humanos, ¿son reales fantasmas?, Y su mini guía para el uso de antibióticos.","De plus, nous avons une page entière dédiée aux articles scientifiques. Nos articles sont un excellent moyen pour les étudiants d'explorer leurs intérêts STEM, car ils sont écrits et par leurs camarades. Quelques-uns de nos articles les plus récents incluent: la classification des animaux en ce qui concerne les humains, les fantômes sont-ils réels ?, Et votre mini guide pour l'utilisation des antibiotiques.","इसके अलावा, हमारे पास एक पूरा पृष्ठ विज्ञान लेखों के लिए समर्पित है। हमारे लेख छात्रों के लिए अपने एसटीईएम हितों का पता लगाने के लिए एक शानदार तरीका है, जैसा कि वे साथी छात्रों द्वारा लिखे गए हैं। हमारे सबसे हाल के लेखों में से कुछ में शामिल हैं: जानवरों का वर्गीकरण जैसा कि यह मनुष्यों से संबंधित है, क्या भूत वास्तविक हैं?, और एंटीबायोटिक दवाओं के उपयोग के लिए आपका मिनी गाइड।"
Educators,,projects,Projects,Proyectos,Projets,परियोजनाओं
Educators,,post_projects,"If your students are working on a science project, either on their own time or for a competition, you can encourage them to post it on SciTeens! Our Project page is dedicated to students who want to share their work and get feedback. On the page, students can view existing projects, leave comments, and post their own work. They can also update it as they go; projects do not have to be completed in order to be posted!","Si sus alumnos están trabajando en un proyecto de ciencias, ya sea en su propio tiempo o para una competencia, ¡puede alentarlos a publicarlo en Sciteens! Nuestra página del proyecto está dedicada a los estudiantes que desean compartir su trabajo y recibir comentarios. En la página, los estudiantes pueden ver proyectos existentes, dejar comentarios y publicar su propio trabajo. También pueden actualizarlo a medida que avanzan; ¡Los proyectos no tienen que completarse para que se publiquen!","Si vos étudiants travaillent sur un projet scientifique, soit sur leur propre temps, soit pour un concours, vous pouvez les encourager à le publier sur Sciteens! Notre page de projet est dédiée aux étudiants qui souhaitent partager leur travail et obtenir des commentaires. Sur la page, les étudiants peuvent consulter les projets existants, laisser des commentaires et publier leur propre travail. Ils peuvent également le mettre à jour au fur et à mesure; Les projets ne doivent pas être terminés pour être publiés!","यदि आपके छात्र एक विज्ञान परियोजना पर काम कर रहे हैं, तो या तो अपने समय पर या एक प्रतियोगिता के लिए, आप उन्हें स्काईन पर पोस्ट करने के लिए प्रोत्साहित कर सकते हैं! हमारा प्रोजेक्ट पेज उन छात्रों को समर्पित है जो अपना काम साझा करना चाहते हैं और प्रतिक्रिया प्राप्त करना चाहते हैं। पृष्ठ पर, छात्र मौजूदा परियोजनाओं को देख सकते हैं, टिप्पणियां छोड़ सकते हैं और अपना काम पोस्ट कर सकते हैं। वे जाते ही इसे अपडेट भी कर सकते हैं; पोस्ट करने के लिए परियोजनाओं को पूरा करने की आवश्यकता नहीं है!"
Educators,,thanks,Thanks for checking out our Educators page! We hope to collaborate with you soon.,¡Gracias por visitar nuestra página de Educadores! Esperamos colaborar contigo pronto.,Merci d'avoir consulté notre page Educators! Nous espérons collaborer avec vous bientôt.,हमारे शिक्षकों के पेज की जाँच करने के लिए धन्यवाद! हम जल्द ही आपके साथ सहयोग करने की उम्मीद करते हैं।
Educators,,,,,,
Educators,,,,,,
Educators,,,,,,
Educators,,,,,,
Educators,,,,,,
Educators,,,,,,
Educators,,,,,,
